Year,SEX,AREA,OCCUPATION,Series,Value
2004,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,Female,West Bank,Service and sales workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2010,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2011,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2012,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2013,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2014,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2015,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2016,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2017,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2018,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2019,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2020,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2021,Female,West Bank,"Skilled agricultural, forestry and fishery workers","Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2000,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2001,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2002,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2003,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2004,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2005,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2006,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2007,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2008,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
2009,Female,West Bank,Craft and related trades workers,"Average hourly earnings of female and male employees, by occupation, age and persons with disabilities (NIS) by SEX, AREA, OCCUPATION and TIME PERIOD",
